localfile	source_repo	source_path	url
DigitaleGesellschaft_DNS-Resolver__configuration-files_roles_base_templates_nftables.conf.j2.nft	DigitaleGesellschaft/DNS-Resolver	configuration-files/roles/base/templates/nftables.conf.j2	https://github.com/DigitaleGesellschaft/DNS-Resolver/blob/HEAD/configuration-files/roles/base/templates/nftables.conf.j2
CallMeR_pve_configuration_notes__src_debian_debian_ts_nftables.conf.nft	CallMeR/pve_configuration_notes	src/debian/debian_ts_nftables.conf	https://github.com/CallMeR/pve_configuration_notes/blob/HEAD/src/debian/debian_ts_nftables.conf
Earnestly_pkgbuilds__system-config_etc-nftables.conf.nft	Earnestly/pkgbuilds	system-config/etc-nftables.conf	https://github.com/Earnestly/pkgbuilds/blob/HEAD/system-config/etc-nftables.conf
openstreetmap_chef__cookbooks_networking_templates_default_nftables.conf.erb.nft	openstreetmap/chef	cookbooks/networking/templates/default/nftables.conf.erb	https://github.com/openstreetmap/chef/blob/HEAD/cookbooks/networking/templates/default/nftables.conf.erb
snerstack_sner-monorepo__server_extra_nftables.conf.notrack.nft	snerstack/sner-monorepo	server/extra/nftables.conf.notrack	https://github.com/snerstack/sner-monorepo/blob/HEAD/server/extra/nftables.conf.notrack
weirdNox_dotfiles__other_nftables.conf.base.nft	weirdNox/dotfiles	other/nftables.conf.base	https://github.com/weirdNox/dotfiles/blob/HEAD/other/nftables.conf.base
OmrHz_datacenter-public__ansible_templates_firewall_firewall02.nftables.conf.j2.nft	OmrHz/datacenter-public	ansible/templates/firewall/firewall02.nftables.conf.j2	https://github.com/OmrHz/datacenter-public/blob/HEAD/ansible/templates/firewall/firewall02.nftables.conf.j2
troglobit_myLinux__board_macchiatobin_rootfs_etc_nftables.conf.nft	troglobit/myLinux	board/macchiatobin/rootfs/etc/nftables.conf	https://github.com/troglobit/myLinux/blob/HEAD/board/macchiatobin/rootfs/etc/nftables.conf
guillaumededrie_workstation__files_etc_nftables.conf.j2.nft	guillaumededrie/workstation	files/etc_nftables.conf.j2	https://github.com/guillaumededrie/workstation/blob/HEAD/files/etc_nftables.conf.j2
alayham_devlab-series-automations__roles_linux_router_templates_nftables.conf.j2.nft	alayham/devlab-series-automations	roles/linux_router/templates/nftables.conf.j2	https://github.com/alayham/devlab-series-automations/blob/HEAD/roles/linux_router/templates/nftables.conf.j2
sando38_podman-rootless-guide__setup_nftables.conf.example.nft	sando38/podman-rootless-guide	setup/nftables.conf.example	https://github.com/sando38/podman-rootless-guide/blob/HEAD/setup/nftables.conf.example
xkr-512_secure-debian-web-platform__configs_nftables_nftables.conf.srv-core.nft	xkr-512/secure-debian-web-platform	configs/nftables/nftables.conf.srv-core	https://github.com/xkr-512/secure-debian-web-platform/blob/HEAD/configs/nftables/nftables.conf.srv-core
MikeHorn-git_dotfiles__dot_etc_nftables.conf.tmpl.nft	MikeHorn-git/dotfiles	dot_etc_nftables.conf.tmpl	https://github.com/MikeHorn-git/dotfiles/blob/HEAD/dot_etc_nftables.conf.tmpl
grezap_nexus-infra-lakehouse__packer_lakehouse-minio-node_files_nftables.conf.nft	grezap/nexus-infra-lakehouse	packer/lakehouse-minio-node/files/nftables.conf	https://github.com/grezap/nexus-infra-lakehouse/blob/HEAD/packer/lakehouse-minio-node/files/nftables.conf
kntrbs76_OTUS__08-kafka_roles_nginx-servers_templates_nftables_nftables.conf.j2.nft	kntrbs76/OTUS	08-kafka/roles/nginx-servers/templates/nftables/nftables.conf.j2	https://github.com/kntrbs76/OTUS/blob/HEAD/08-kafka/roles/nginx-servers/templates/nftables/nftables.conf.j2
enigma158an201_straxui-setup__old-archives_nftables.conf.straxui.nft	enigma158an201/straxui-setup	old-archives/nftables.conf.straxui	https://github.com/enigma158an201/straxui-setup/blob/HEAD/old-archives/nftables.conf.straxui
soerenschneider_ansible__playbooks_router_templates_nftables.conf-ez.j2.nft	soerenschneider/ansible	playbooks/router/templates/nftables.conf-ez.j2	https://github.com/soerenschneider/ansible/blob/HEAD/playbooks/router/templates/nftables.conf-ez.j2
bodik_sner4__extra_nftables.conf.notrack.nft	bodik/sner4	extra/nftables.conf.notrack	https://github.com/bodik/sner4/blob/HEAD/extra/nftables.conf.notrack
icpcsysops_ansible__roles_iptablesrules_templates_challenge.nftables.conf.j2.nft	icpcsysops/ansible	roles/iptablesrules/templates/challenge.nftables.conf.j2	https://github.com/icpcsysops/ansible/blob/HEAD/roles/iptablesrules/templates/challenge.nftables.conf.j2
KilimcininKorOglu_lankeeper__configs_sysconf_nftables.conf.tmpl.nft	KilimcininKorOglu/lankeeper	configs/sysconf/nftables.conf.tmpl	https://github.com/KilimcininKorOglu/lankeeper/blob/HEAD/configs/sysconf/nftables.conf.tmpl
IncudoLabs_orions-belt__playbooks_os_hardening_network_templates_OB-007-T_nftables.conf.j2.nft	IncudoLabs/orions-belt	playbooks/os_hardening/network/templates/OB-007-T_nftables.conf.j2	https://github.com/IncudoLabs/orions-belt/blob/HEAD/playbooks/os_hardening/network/templates/OB-007-T_nftables.conf.j2
OUH-MESHLab_BrainlabMirror__systoleos_etc_nftables.conf.nft	OUH-MESHLab/BrainlabMirror	systoleos/etc/nftables.conf	https://github.com/OUH-MESHLab/BrainlabMirror/blob/HEAD/systoleos/etc/nftables.conf
maikltim_HighLoad_Systems_Otus__mysql_cluster_hw5_roles_jump-servers_templates_nftables_nftables.conf.j2.nft	maikltim/HighLoad_Systems_Otus	mysql cluster_hw5/roles/jump-servers/templates/nftables/nftables.conf.j2	https://github.com/maikltim/HighLoad_Systems_Otus/blob/HEAD/mysql cluster_hw5/roles/jump-servers/templates/nftables/nftables.conf.j2
NETWORKERS-HOME-123_quickfw-firewall-appliance__rootfs_etc_nftables.conf.nft	NETWORKERS-HOME-123/quickfw-firewall-appliance	rootfs/etc/nftables.conf	https://github.com/NETWORKERS-HOME-123/quickfw-firewall-appliance/blob/HEAD/rootfs/etc/nftables.conf
mr-tanta_securing-production-servers__configs_nftables.conf.web.nft	mr-tanta/securing-production-servers	configs/nftables.conf.web	https://github.com/mr-tanta/securing-production-servers/blob/HEAD/configs/nftables.conf.web
privy-cafe_DollarLinuxClub__docs_harbian_configurations_etc.nftables.conf.nft	privy-cafe/DollarLinuxClub	docs/harbian/configurations/etc.nftables.conf	https://github.com/privy-cafe/DollarLinuxClub/blob/HEAD/docs/harbian/configurations/etc.nftables.conf
kth5_archpower__nftables_nftables.conf.nft	kth5/archpower	nftables/nftables.conf	https://github.com/kth5/archpower/blob/HEAD/nftables/nftables.conf
CyberPuck_cluster-pecan__playbooks_roles_networking_files_nftables.conf.nft	CyberPuck/cluster-pecan	playbooks/roles/networking/files/nftables.conf	https://github.com/CyberPuck/cluster-pecan/blob/HEAD/playbooks/roles/networking/files/nftables.conf
allvpv_dotfiles__lumber_simple.nftables.conf.nft	allvpv/dotfiles	lumber/simple.nftables.conf	https://github.com/allvpv/dotfiles/blob/HEAD/lumber/simple.nftables.conf
rchars_AdminStuff__Misc_C4_nftables.conf.nft	rchars/AdminStuff	Misc/C4/nftables.conf	https://github.com/rchars/AdminStuff/blob/HEAD/Misc/C4/nftables.conf
user7537_arch-backup__NOT_IN_DOCUMENTS_etc_nftables.conf.nft	user7537/arch-backup	NOT_IN_DOCUMENTS/etc/nftables.conf	https://github.com/user7537/arch-backup/blob/HEAD/NOT_IN_DOCUMENTS/etc/nftables.conf
kitimist_Univeristy-labs__rpmbuild_SOURCES_nftables.conf.nft	kitimist/Univeristy-labs	rpmbuild/SOURCES/nftables.conf	https://github.com/kitimist/Univeristy-labs/blob/HEAD/rpmbuild/SOURCES/nftables.conf
vitorpy_dotfiles__private_dot_config_private_arch_ansible_roles_security_templates_nftables.conf.j2.nft	vitorpy/dotfiles	private_dot_config/private_arch/ansible/roles/security/templates/nftables.conf.j2	https://github.com/vitorpy/dotfiles/blob/HEAD/private_dot_config/private_arch/ansible/roles/security/templates/nftables.conf.j2
eas1804_eas1804.github.io__Linux_OpenVPN_nftables.conf.nft	eas1804/eas1804.github.io	Linux/OpenVPN/nftables.conf	https://github.com/eas1804/eas1804.github.io/blob/HEAD/Linux/OpenVPN/nftables.conf
rchars_AdminStuff__Misc_RaspberryPI4B_nftables.conf.nft	rchars/AdminStuff	Misc/RaspberryPI4B/nftables.conf	https://github.com/rchars/AdminStuff/blob/HEAD/Misc/RaspberryPI4B/nftables.conf
maikltim_HighLoad_Systems_Otus__saltstack_hw11_srv_salt_be_files_nftables_nftables.conf.jinja.nft	maikltim/HighLoad_Systems_Otus	saltstack_hw11/srv/salt/be/files/nftables/nftables.conf.jinja	https://github.com/maikltim/HighLoad_Systems_Otus/blob/HEAD/saltstack_hw11/srv/salt/be/files/nftables/nftables.conf.jinja
Ramsus420_TDDI16Labbar__TDDI41_Lab5_c1c2srv_nftables.conf.nft	Ramsus420/TDDI16Labbar	TDDI41/Lab5/c1c2srv_nftables.conf	https://github.com/Ramsus420/TDDI16Labbar/blob/HEAD/TDDI41/Lab5/c1c2srv_nftables.conf
infertux_chef-sanity__templates_default_firewall_nftables.conf.erb.nft	infertux/chef-sanity	templates/default/firewall/nftables.conf.erb	https://github.com/infertux/chef-sanity/blob/HEAD/templates/default/firewall/nftables.conf.erb
progmaticltd_homebox__roles_firewall_templates_rules_20-proxy.nft.nft	progmaticltd/homebox	roles/firewall/templates/rules/20-proxy.nft	https://github.com/progmaticltd/homebox/blob/HEAD/roles/firewall/templates/rules/20-proxy.nft
QubesOS_qubes-core-agent-linux__network_qubes-ipv6.nft.nft	QubesOS/qubes-core-agent-linux	network/qubes-ipv6.nft	https://github.com/QubesOS/qubes-core-agent-linux/blob/HEAD/network/qubes-ipv6.nft
atweiden_voidvault__resources_etc_nftables_wireguard_table_wireguard.nft.nft	atweiden/voidvault	resources/etc/nftables/wireguard/table/wireguard.nft	https://github.com/atweiden/voidvault/blob/HEAD/resources/etc/nftables/wireguard/table/wireguard.nft
mit-ll_HAKC__packet-filtering_nft-scripts_add_lo_input_counter.nft.nft	mit-ll/HAKC	packet-filtering/nft-scripts/add_lo_input_counter.nft	https://github.com/mit-ll/HAKC/blob/HEAD/packet-filtering/nft-scripts/add_lo_input_counter.nft
rocka_nft-transproxy__nft_transproxy.nft.nft	rocka/nft-transproxy	nft/transproxy.nft	https://github.com/rocka/nft-transproxy/blob/HEAD/nft/transproxy.nft
c834606877_padavan-arm__trunk_user_nftables_nftables-1.1.6_files_nftables_ipv6-filter.nft.nft	c834606877/padavan-arm	trunk/user/nftables/nftables-1.1.6/files/nftables/ipv6-filter.nft	https://github.com/c834606877/padavan-arm/blob/HEAD/trunk/user/nftables/nftables-1.1.6/files/nftables/ipv6-filter.nft
lukehatcherRP_nftables__files_nftables_ipv6-mangle.nft.nft	lukehatcherRP/nftables	files/nftables/ipv6-mangle.nft	https://github.com/lukehatcherRP/nftables/blob/HEAD/files/nftables/ipv6-mangle.nft
sophos_spl-netfilter-public__nftables_files_nftables_ipv6-raw.nft.nft	sophos/spl-netfilter-public	nftables/files/nftables/ipv6-raw.nft	https://github.com/sophos/spl-netfilter-public/blob/HEAD/nftables/files/nftables/ipv6-raw.nft
michaelbrucelin_HelloLanguage__DevOps_Config_nftables.nft.nft	michaelbrucelin/HelloLanguage	DevOps/Config/nftables.nft	https://github.com/michaelbrucelin/HelloLanguage/blob/HEAD/DevOps/Config/nftables.nft
whoisjordangarcia_dotfiles__configs_vpn-split_cdn-bypass.nft.nft	whoisjordangarcia/dotfiles	configs/vpn-split/cdn-bypass.nft	https://github.com/whoisjordangarcia/dotfiles/blob/HEAD/configs/vpn-split/cdn-bypass.nft
nosoxon_nftables-portknocking__core.nft.nft	nosoxon/nftables-portknocking	core.nft	https://github.com/nosoxon/nftables-portknocking/blob/HEAD/core.nft
